"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
1.57741060484174e-06,4618,4586,349,30,1,2,0,33
1.57851436191603e-06,4617,4585,350,30,1,2,0,33
1.59073160222235e-06,4616,4584,351,30,1,2,0,33
1.59078783267422e-06,4615,4583,352,30,1,2,0,33
1.59384403198767e-06,4614,4582,353,30,1,2,0,33
1.59720571732522e-06,4614,4581,352,31,1,2,0,34
1.61038133150092e-06,4613,4580,353,31,1,2,0,34
1.61171026180815e-06,4612,4579,353,31,1,3,0,35
1.61186701889302e-06,4611,4578,354,31,1,3,0,35
1.61230274051822e-06,4610,4577,355,31,1,3,0,35
1.6160279990955e-06,4609,4576,356,31,1,3,0,35
1.61964108752853e-06,4608,4575,357,31,1,3,0,35
1.62022650629991e-06,4607,4574,358,31,1,3,0,35
1.62486800242289e-06,4606,4573,359,31,1,3,0,35
1.62495968449301e-06,4605,4572,360,31,1,3,0,35
1.63296537686253e-06,4604,4571,361,31,1,3,0,35
1.63446160466092e-06,4603,4570,362,31,1,3,0,35
1.64464123332351e-06,4602,4569,363,31,1,3,0,35
1.65037195842234e-06,4601,4568,364,31,1,3,0,35
1.6523292325786e-06,4600,4567,365,31,1,3,0,35
1.6524108340035e-06,4599,4566,366,31,1,3,0,35
1.66055478871038e-06,4598,4565,367,31,1,3,0,35
1.66243785893567e-06,4597,4564,368,31,1,3,0,35
1.66870160851656e-06,4596,4563,369,31,1,3,0,35
1.67427190174846e-06,4596,4562,368,32,1,3,0,36
1.67995402508635e-06,4595,4561,369,32,1,3,0,36
1.68665682491845e-06,4594,4560,370,32,1,3,0,36
1.68933193519799e-06,4593,4559,371,32,1,3,0,36
1.70084375901889e-06,4592,4558,372,32,1,3,0,36
1.70189446795666e-06,4591,4557,373,32,1,3,0,36
1.70416385422361e-06,4590,4556,374,32,1,3,0,36
1.70708214589731e-06,4589,4555,375,32,1,3,0,36
1.70793065389964e-06,4588,4554,376,32,1,3,0,36
1.71396279170092e-06,4587,4553,377,32,1,3,0,36
1.71655449632639e-06,4587,4552,376,33,1,3,0,37
1.71737483526127e-06,4586,4551,377,33,1,3,0,37
1.71740268968517e-06,4585,4550,378,33,1,3,0,37
1.71759573978332e-06,4584,4549,379,33,1,3,0,37
1.72028268972562e-06,4583,4548,380,33,1,3,0,37
1.72330894722414e-06,4582,4547,381,33,1,3,0,37
1.72901517391282e-06,4581,4546,382,33,1,3,0,37
1.73220862002237e-06,4580,4545,383,33,1,3,0,37
1.73433930793423e-06,4580,4544,382,34,1,3,0,38
1.74250180572746e-06,4580,4543,381,35,1,3,0,39
1.74773036340243e-06,4579,4542,382,35,1,3,0,39
1.7477560679039e-06,4578,4541,383,35,1,3,0,39
1.75206165896578e-06,4577,4540,384,35,1,3,0,39
1.75761521271685e-06,4576,4539,385,35,1,3,0,39
1.76266397137513e-06,4575,4538,386,35,1,3,0,39
1.7685323917673e-06,4574,4537,387,35,1,3,0,39
1.77112903499383e-06,4573,4536,388,35,1,3,0,39
1.77317664817277e-06,4572,4535,389,35,1,3,0,39
1.77531697029827e-06,4571,4534,390,35,1,3,0,39
1.77789237975643e-06,4570,4533,391,35,1,3,0,39
1.77829395640018e-06,4569,4532,392,35,1,3,0,39
1.78143434573109e-06,4568,4531,393,35,1,3,0,39
1.78242248801179e-06,4567,4530,394,35,1,3,0,39
1.78343175854481e-06,4566,4529,395,35,1,3,0,39
1.78738770632973e-06,4565,4528,396,35,1,3,0,39
